edge_id,station_a,station_b,lines,n_lines
Acton Town__Chiswick Park,Acton Town,Chiswick Park,District-Main,1
Acton Town__Ealing Common,Acton Town,Ealing Common,District-Main;Piccadilly-Uxbridge,2
Acton Town__South Ealing,Acton Town,South Ealing,Piccadilly-Main,1
Acton Town__Turnham Green,Acton Town,Turnham Green,Piccadilly-Main,1
Aldgate__Liverpool Street,Aldgate,Liverpool Street,Circle-Main;Metropolitan-Main,2
Aldgate__Tower Hill,Aldgate,Tower Hill,Circle-Main,1
Aldgate East__Liverpool Street,Aldgate East,Liverpool Street,Hammersmith & City,1
Aldgate East__Tower Hill,Aldgate East,Tower Hill,District-Main,1
Aldgate East__Whitechapel,Aldgate East,Whitechapel,District-Main;Hammersmith & City,2
Alperton__Park Royal,Alperton,Park Royal,Piccadilly-Uxbridge,1
Alperton__Sudbury Town,Alperton,Sudbury Town,Piccadilly-Uxbridge,1
Amersham__Chalfont & Latimer,Amersham,Chalfont & Latimer,Metropolitan-Main,1
Angel__King’s Cross St. Pancras,Angel,King’s Cross St. Pancras,Northern-Main,1
Angel__Old Street,Angel,Old Street,Northern-Main,1
Archway__Highgate,Archway,Highgate,Northern-High Barnet,1
Archway__Tufnell Park,Archway,Tufnell Park,Northern-High Barnet,1
Arnos Grove__Bounds Green,Arnos Grove,Bounds Green,Piccadilly-Main,1
Arnos Grove__Southgate,Arnos Grove,Southgate,Piccadilly-Main,1
Arsenal__Finsbury Park,Arsenal,Finsbury Park,Piccadilly-Main,1
Arsenal__Holloway Road,Arsenal,Holloway Road,Piccadilly-Main,1
Baker Street__Bond Street,Baker Street,Bond Street,Jubilee,1
Baker Street__Edgware Road,Baker Street,Edgware Road,Circle-Main;Hammersmith & City,2
Baker Street__Finchley Road,Baker Street,Finchley Road,Metropolitan-Main,1
Baker Street__Great Portland Street,Baker Street,Great Portland Street,Circle-Main;Hammersmith & City;Metropolitan-Main,3
Baker Street__Marylebone,Baker Street,Marylebone,Bakerloo,1
Baker Street__Regent’s Park,Baker Street,Regent’s Park,Bakerloo,1
Baker Street__St. John’s Wood,Baker Street,St. John’s Wood,Jubilee,1
Balham__Clapham South,Balham,Clapham South,Northern-Main,1
Balham__Tooting Bec,Balham,Tooting Bec,Northern-Main,1
Bank-Monument__Cannon Street,Bank-Monument,Cannon Street,Circle-Main;District-Main,2
Bank-Monument__Liverpool Street,Bank-Monument,Liverpool Street,Central-Main,1
Bank-Monument__London Bridge,Bank-Monument,London Bridge,Northern-Main,1
Bank-Monument__Moorgate,Bank-Monument,Moorgate,Northern-Main,1
Bank-Monument__St. Paul’s,Bank-Monument,St. Paul’s,Central-Main,1
Bank-Monument__Tower Hill,Bank-Monument,Tower Hill,Circle-Main;District-Main,2
Bank-Monument__Waterloo,Bank-Monument,Waterloo,Waterloo & City,1
Barbican__Farringdon,Barbican,Farringdon,Circle-Main;Hammersmith & City;Metropolitan-Main,3
Barbican__Moorgate,Barbican,Moorgate,Circle-Main;Hammersmith & City;Metropolitan-Main,3
Barking__East Ham,Barking,East Ham,District-Main;Hammersmith & City,2
Barking__Upney,Barking,Upney,District-Main,1
Barkingside__Fairlop,Barkingside,Fairlop,Central-Hainault Loop;Central-Main,2
Barkingside__Newbury Park,Barkingside,Newbury Park,Central-Hainault Loop;Central-Main,2
Barons Court__Earl's Court,Barons Court,Earl's Court,Piccadilly-Main,1
