uid,line,position,raw_name,canonical_name
e001,Bakerloo,1,Harrow & Wealdstone,Harrow & Wealdstone
e002,Bakerloo,2,Kenton,Kenton
e003,Bakerloo,3,South Kenton,South Kenton
e004,Bakerloo,4,North Wembley,North Wembley
e005,Bakerloo,5,Wembley Central,Wembley Central
e006,Bakerloo,6,Stonebridge Park,Stonebridge Park
e007,Bakerloo,7,Harlesden,Harlesden
e008,Bakerloo,8,Willesden Junction,Willesden Junction
e009,Bakerloo,9,Kensal Green,Kensal Green
e010,Bakerloo,10,Queen’s Park,Queen’s Park
e011,Bakerloo,11,Kilburn Park,Kilburn Park
e012,Bakerloo,12,Maida Vale,Maida Vale
e013,Bakerloo,13,Warwick Avenue,Warwick Avenue
e014,Bakerloo,14,Paddington,Paddington
e015,Bakerloo,15,Edgware Road,Edgware Road
e016,Bakerloo,16,Marylebone,Marylebone
e017,Bakerloo,17,Baker Street,Baker Street
e018,Bakerloo,18,Regent’s Park,Regent’s Park
e019,Bakerloo,19,Oxford Circus,Oxford Circus
e020,Bakerloo,20,Piccadilly Circus,Piccadilly Circus
e021,Bakerloo,21,Charing Cross,Charing Cross
e022,Bakerloo,22,Embankment,Embankment
e023,Bakerloo,23,Waterloo,Waterloo
e024,Bakerloo,24,Lambeth North,Lambeth North
e025,Bakerloo,25,Elephant & Castle,Elephant & Castle
e026,Central-Epping,1,Woodford,Woodford
e027,Central-Epping,2,Buckhurst Hill,Buckhurst Hill
e028,Central-Epping,3,Loughton,Loughton
e029,Central-Epping,4,Debden,Debden
e030,Central-Epping,5,Theydon Bois,Theydon Bois
e031,Central-Epping,6,Epping,Epping
e032,Central-Hainault Loop,1,Leytonstone,Leytonstone
e033,Central-Hainault Loop,2,Wanstead,Wanstead
e034,Central-Hainault Loop,3,Redbridge,Redbridge
e035,Central-Hainault Loop,4,Gants Hill,Gants Hill
e036,Central-Hainault Loop,5,Newbury Park,Newbury Park
e037,Central-Hainault Loop,6,Barkingside,Barkingside
e038,Central-Hainault Loop,7,Fairlop,Fairlop
e039,Central-Hainault Loop,8,Hainault,Hainault
e040,Central-Hainault Loop,9,Grange Hill,Grange Hill
e041,Central-Hainault Loop,10,Chigwell,Chigwell
e042,Central-Hainault Loop,11,Roding Valley,Roding Valley
e043,Central-Hainault Loop,12,Woodford,Woodford
e044,Central-Hainault Loop,13,South Woodford,South Woodford
e045,Central-Hainault Loop,14,Snaresbrook,Snaresbrook
e046,Central-Hainault Loop,15,Leytonstone,Leytonstone
e047,Central-Main,1,Ealing Broadway,Ealing Broadway
e048,Central-Main,2,West Acton,West Acton
e049,Central-Main,3,North Acton,North Acton
e050,Central-Main,4,East Acton,East Acton
e051,Central-Main,5,White City,White City
e052,Central-Main,6,Shepherd’s Bush,Shepherd’s Bush
