station_id,display_name,original_names,n_original_names,lines,n_lines
Acton Town,Acton Town,Acton Town,1,District-Main;Piccadilly-Main;Piccadilly-Uxbridge,3
Aldgate,Aldgate,Aldgate,1,Circle-Main;Metropolitan-Main,2
Aldgate East,Aldgate East,Aldgate East,1,District-Main;Hammersmith & City,2
Alperton,Alperton,Alperton,1,Piccadilly-Uxbridge,1
Amersham,Amersham,Amersham,1,Metropolitan-Main,1
Angel,Angel,Angel,1,Northern-Main,1
Archway,Archway,Archway,1,Northern-High Barnet,1
Arnos Grove,Arnos Grove,Arnos Grove,1,Piccadilly-Main,1
Arsenal,Arsenal,Arsenal,1,Piccadilly-Main,1
Baker Street,Baker Street,Baker Street,1,Bakerloo;Circle-Main;Hammersmith & City;Jubilee;Metropolitan-Main,5
Balham,Balham,Balham,1,Northern-Main,1
Bank-Monument,Bank-Monument,Bank|Monument,2,Central-Main;Circle-Main;District-Main;Northern-Main;Waterloo & City,5
Barbican,Barbican,Barbican,1,Circle-Main;Hammersmith & City;Metropolitan-Main,3
Barking,Barking,Barking,1,District-Main;Hammersmith & City,2
Barkingside,Barkingside,Barkingside,1,Central-Hainault Loop;Central-Main,2
Barons Court,Barons Court,Barons Court,1,District-Main;Piccadilly-Main,2
Battersea Power Station,Battersea Power Station,Battersea Power Station,1,Northern-Battersea Power Station,1
Bayswater,Bayswater,Bayswater,1,Circle-Main;District-Edgware Road,2
Becontree,Becontree,Becontree,1,District-Main,1
Belsize Park,Belsize Park,Belsize Park,1,Northern-Main,1
Bermondsey,Bermondsey,Bermondsey,1,Jubilee,1
Bethnal Green,Bethnal Green,Bethnal Green,1,Central-Main,1
Blackfriars,Blackfriars,Blackfriars,1,Circle-Main;District-Main,2
Blackhorse Road,Blackhorse Road,Blackhorse Road,1,Victoria,1
Bond Street,Bond Street,Bond Street,1,Central-Main;Jubilee,2
Borough,Borough,Borough,1,Northern-Main,1
Boston Manor,Boston Manor,Boston Manor,1,Piccadilly-Main,1
Bounds Green,Bounds Green,Bounds Green,1,Piccadilly-Main,1
Bow Road,Bow Road,Bow Road,1,District-Main;Hammersmith & City,2
Brent Cross,Brent Cross,Brent Cross,1,Northern-Main,1
Brixton,Brixton,Brixton,1,Victoria,1
Bromley-by-Bow,Bromley-by-Bow,Bromley-by-Bow,1,District-Main;Hammersmith & City,2
